案例ID,问题,岗位,画像组,目标难度,预期知识ID,参考答案,依据来源,来源定位,标注状态,标注者A编号,A复核日期,A问题与岗位匹配,A预期知识ID正确,A参考答案正确完整,A来源定位有效且支持答案,A结论,A修改建议,标注者B编号,B复核日期,B问题与岗位匹配,B预期知识ID正确,B参考答案正确完整,B来源定位有效且支持答案,B结论,B修改建议,一致性结论,分歧原因,仲裁者编号,仲裁日期,仲裁结论,仲裁说明,最终标注状态
QA-001,关于岗前培训、操作说明，应掌握哪项关键知识？,数控机床操作工,P1,入门,CNC-SAFE-001,操作或安装机床前，相关人员应先熟悉设备操作说明和安全说明。,Haas Desktop Mill Operator's Manual Supplement,https://www.haascnc.com/service/online-operator-s-manuals/desktop-mill---operator-s-manual-supplement/desktop-mill---safety.html#3.2 Read Before Operating,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-002,关于个人防护、安全眼镜，应掌握哪项关键知识？,数控机床操作工,P2,应用,CNC-SAFE-002,操作机床时应使用适当的眼部和听力防护用品。,Haas Desktop Mill Operator's Manual Supplement,https://www.haascnc.com/service/online-operator-s-manuals/desktop-mill---operator-s-manual-supplement/desktop-mill---safety.html#3.2 Read Before Operating,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-003,关于防护窗、日常检查，应掌握哪项关键知识？,数控机床操作工,P3,进阶,CNC-SAFE-003,机床防护窗损坏或严重划伤时应立即更换，运行期间侧窗应保持锁闭。,Haas Desktop Mill Operator's Manual Supplement,https://www.haascnc.com/service/online-operator-s-manuals/desktop-mill---operator-s-manual-supplement/desktop-mill---safety.html#3.2 Read Before Operating,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-040,请为转岗学习者解释数控机床安全操作、岗前培训的关键要求。,数控机床操作工,P2,进阶,CNC-SAFE-001,操作或安装机床前，相关人员应先熟悉设备操作说明和安全说明。,Haas Desktop Mill Operator's Manual Supplement,https://www.haascnc.com/service/online-operator-s-manuals/desktop-mill---operator-s-manual-supplement/desktop-mill---safety.html#3.2 Read Before Operating,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-013,关于CNC编程、主轴，应掌握哪项关键知识？,CNC编程员,P1,入门,CNC-M-001,M03 指令用于启动主轴顺时针旋转。,Haas Mill Operator's Manual - Programming,https://www.haascnc.com/service/online-operator-s-manuals/mill-operator-s-manual/mill---basic-programming.html#Programming example,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-014,关于CNC编程、主轴，应掌握哪项关键知识？,CNC编程员,P2,应用,CNC-M-002,M05 指令用于停止主轴。,Haas Mill Operator's Manual - Programming,https://www.haascnc.com/service/online-operator-s-manuals/mill-operator-s-manual/mill---basic-programming.html#Programming example,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-015,关于CNC编程、冷却液，应掌握哪项关键知识？,CNC编程员,P3,进阶,CNC-M-003,M08 指令用于开启冷却液。,Haas Mill Operator's Manual - Programming,https://www.haascnc.com/service/online-operator-s-manuals/mill-operator-s-manual/mill---basic-programming.html#Programming example,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-052,请为转岗学习者解释M代码、CNC编程的关键要求。,CNC编程员,P2,进阶,CNC-M-001,M03 指令用于启动主轴顺时针旋转。,Haas Mill Operator's Manual - Programming,https://www.haascnc.com/service/online-operator-s-manuals/mill-operator-s-manual/mill---basic-programming.html#Programming example,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-030,关于量具使用、游标卡尺，应掌握哪项关键知识？,质检员,P3,进阶,QC-MEASURE-001,游标卡尺和数显卡尺可用于测量工件的内尺寸与外尺寸。,Mitutoyo - Calipers,https://dev.pim.mitutoyo.com/products/small-tool-instruments-and-data-management/calipers/,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-031,关于量具使用、深度尺，应掌握哪项关键知识？,质检员,P1,入门,QC-MEASURE-002,深度量具适用于槽、台阶和孔等特征的深度测量。,Mitutoyo - Depth Gages,https://dev.pim.mitutoyo.com/products/small-tool-instruments-and-data-management/depth-gages/,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-032,关于量具使用、数显卡尺，应掌握哪项关键知识？,质检员,P2,应用,QC-MEASURE-003,数显卡尺以数字显示滑尺实际位置，可提高读数便利性，并可用于内、外、深度和台阶尺寸测量。,Mitutoyo - Digimatic Calipers,https://dev.pim.mitutoyo.com/products/small-tool-instruments-and-data-management/calipers/digimatic-calipers/,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
QA-039,关于质量记录、SPC，应掌握哪项关键知识？,质检员,P3,进阶,QC-MEASURE-010,将测量数据直接传入统计过程控制软件，可以减少人工录入错误并提高数据处理效率。,Mitutoyo Small Tools and Data Management,https://dev.pim.mitutoyo.com/products/small-tool-instruments-and-data-management/#Seamless Data Transfer,机器初标，待人工双人复核,,,,,,,,,,,,,,,,,,,,,,,
